# Hetzner Cloud Pricing for OpenCost CSV Provider
# Generated: 2026-02-26T11:39:02.783509
# Source: Hetzner Cloud API (https://api.hetzner.cloud/v1/pricing)
# Prices in EUR per hour (net, excluding VAT)
#
EndTimestamp,InstanceID,Region,AssetClass,InstanceIDField,InstanceType,MarketPriceHourly,Version
,cpx11,ash,node,metadata.labels.node.kubernetes.io/instance-type,cpx11,0.007200,2026.02
,cpx11,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cpx11,0.006300,2026.02
,cpx11,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cpx11,0.006300,2026.02
,cpx11,hil,node,metadata.labels.node.kubernetes.io/instance-type,cpx11,0.007200,2026.02
,cpx11,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cpx11,0.006300,2026.02
,cpx11,sin,node,metadata.labels.node.kubernetes.io/instance-type,cpx11,0.011900,2026.02
,cpx21,ash,node,metadata.labels.node.kubernetes.io/instance-type,cpx21,0.014500,2026.02
,cpx21,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cpx21,0.011200,2026.02
,cpx21,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cpx21,0.011200,2026.02
,cpx21,hil,node,metadata.labels.node.kubernetes.io/instance-type,cpx21,0.014500,2026.02
,cpx21,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cpx21,0.011200,2026.02
,cpx21,sin,node,metadata.labels.node.kubernetes.io/instance-type,cpx21,0.022600,2026.02
,cpx31,ash,node,metadata.labels.node.kubernetes.io/instance-type,cpx31,0.025700,2026.02
,cpx31,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cpx31,0.021100,2026.02
,cpx31,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cpx31,0.021100,2026.02
,cpx31,hil,node,metadata.labels.node.kubernetes.io/instance-type,cpx31,0.025700,2026.02
,cpx31,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cpx31,0.021100,2026.02
,cpx31,sin,node,metadata.labels.node.kubernetes.io/instance-type,cpx31,0.039700,2026.02
,cpx41,ash,node,metadata.labels.node.kubernetes.io/instance-type,cpx41,0.048100,2026.02
,cpx41,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cpx41,0.040900,2026.02
,cpx41,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cpx41,0.040900,2026.02
,cpx41,hil,node,metadata.labels.node.kubernetes.io/instance-type,cpx41,0.048100,2026.02
,cpx41,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cpx41,0.040900,2026.02
,cpx41,sin,node,metadata.labels.node.kubernetes.io/instance-type,cpx41,0.068300,2026.02
,cpx51,ash,node,metadata.labels.node.kubernetes.io/instance-type,cpx51,0.096200,2026.02
,cpx51,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cpx51,0.087200,2026.02
,cpx51,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cpx51,0.087200,2026.02
,cpx51,hil,node,metadata.labels.node.kubernetes.io/instance-type,cpx51,0.096200,2026.02
,cpx51,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cpx51,0.087200,2026.02
,cpx51,sin,node,metadata.labels.node.kubernetes.io/instance-type,cpx51,0.123200,2026.02
,cax11,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cax11,0.005300,2026.02
,cax11,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cax11,0.005300,2026.02
,cax11,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cax11,0.005300,2026.02
,cax21,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cax21,0.009600,2026.02
